"Plot Title: 20358774-in lab"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20358774, SEN S/N: 20358774)","Temp, °C (LGR S/N: 20358774, SEN S/N: 20358774)","Coupler Attached (LGR S/N: 20358774)","Host Connected (LGR S/N: 20358774)","Stopped (LGR S/N: 20358774)","End Of File (LGR S/N: 20358774)"
1,05/10/22,04:00:00  PM,10.34,11.98,,,,
2,05/10/22,04:05:00  PM,10.34,12.02,,,,
3,05/10/22,04:10:00  PM,10.35,12.10,,,,
4,05/10/22,04:15:00  PM,10.35,12.16,,,,
5,05/10/22,04:20:00  PM,10.34,12.20,,,,
6,05/10/22,04:25:00  PM,10.33,12.26,,,,
7,05/10/22,04:30:00  PM,10.32,12.30,,,,
8,05/10/22,04:35:00  PM,10.33,12.36,,,,
9,05/10/22,04:40:00  PM,10.32,12.40,,,,
10,05/10/22,04:45:00  PM,10.31,12.44,,,,
11,05/10/22,04:50:00  PM,10.32,12.50,,,,
12,05/10/22,04:55:00  PM,10.30,12.54,,,,
13,05/10/22,05:00:00  PM,10.31,12.58,,,,
14,05/10/22,05:05:00  PM,10.29,12.62,,,,
15,05/10/22,05:10:00  PM,10.29,12.68,,,,
16,05/10/22,05:15:00  PM,10.29,12.72,,,,
17,05/10/22,05:20:00  PM,10.27,12.76,,,,
18,05/10/22,05:25:00  PM,10.27,12.80,,,,
19,05/10/22,05:30:00  PM,10.29,12.84,,,,
20,05/10/22,05:35:00  PM,10.26,12.88,,,,
21,05/10/22,05:40:00  PM,10.26,12.92,,,,
22,05/10/22,05:45:00  PM,10.26,12.96,,,,
23,05/10/22,05:50:00  PM,10.26,12.98,,,,
24,05/10/22,05:55:00  PM,10.26,13.02,,,,
25,05/10/22,06:00:00  PM,10.24,13.06,,,,
26,05/10/22,06:05:00  PM,10.25,13.10,,,,
27,05/10/22,06:10:00  PM,10.23,13.14,,,,
28,05/10/22,06:15:00  PM,10.23,13.18,,,,
29,05/10/22,06:20:00  PM,10.23,13.22,,,,
30,05/10/22,06:25:00  PM,10.23,13.24,,,,
31,05/10/22,06:30:00  PM,10.23,13.28,,,,
32,05/10/22,06:35:00  PM,10.23,13.32,,,,
33,05/10/22,06:40:00  PM,10.22,13.34,,,,
34,05/10/22,06:45:00  PM,10.21,13.38,,,,
35,05/10/22,06:50:00  PM,10.21,13.42,,,,
36,05/10/22,06:55:00  PM,10.22,13.44,,,,
37,05/10/22,07:00:00  PM,10.20,13.48,,,,
38,05/10/22,07:05:00  PM,10.20,13.50,,,,
39,05/10/22,07:10:00  PM,10.20,13.54,,,,
40,05/10/22,07:15:00  PM,10.21,13.58,,,,
41,05/10/22,07:20:00  PM,10.20,13.60,,,,
42,05/10/22,07:25:00  PM,10.19,13.64,,,,
43,05/10/22,07:30:00  PM,10.18,13.66,,,,
44,05/10/22,07:35:00  PM,10.17,13.70,,,,
45,05/10/22,07:40:00  PM,10.18,13.72,,,,
46,05/10/22,07:45:00  PM,10.18,13.76,,,,
47,05/10/22,07:50:00  PM,10.17,13.78,,,,
48,05/10/22,07:55:00  PM,10.16,13.82,,,,
49,05/10/22,08:00:00  PM,10.16,13.84,,,,
50,05/10/22,08:05:00  PM,10.16,13.88,,,,
51,05/10/22,08:10:00  PM,10.14,13.90,,,,
52,05/10/22,08:15:00  PM,10.14,13.94,,,,
53,05/10/22,08:20:00  PM,10.14,13.96,,,,
54,05/10/22,08:25:00  PM,10.14,13.98,,,,
55,05/10/22,08:30:00  PM,10.13,14.02,,,,
56,05/10/22,08:35:00  PM,10.12,14.04,,,,
57,05/10/22,08:40:00  PM,10.13,14.06,,,,
58,05/10/22,08:45:00  PM,10.13,14.10,,,,
59,05/10/22,08:50:00  PM,10.11,14.12,,,,
60,05/10/22,08:55:00  PM,10.11,14.14,,,,
61,05/10/22,09:00:00  PM,10.11,14.18,,,,
62,05/10/22,09:05:00  PM,10.10,14.20,,,,
63,05/10/22,09:10:00  PM,10.10,14.22,,,,
64,05/10/22,09:15:00  PM,10.10,14.24,,,,
65,05/10/22,09:20:00  PM,10.10,14.28,,,,
66,05/10/22,09:25:00  PM,10.10,14.30,,,,
67,05/10/22,09:30:00  PM,10.10,14.32,,,,
68,05/10/22,09:35:00  PM,10.09,14.34,,,,
69,05/10/22,09:40:00  PM,10.09,14.36,,,,
70,05/10/22,09:45:00  PM,10.08,14.40,,,,
71,05/10/22,09:50:00  PM,10.07,14.42,,,,
72,05/10/22,09:55:00  PM,10.08,14.44,,,,
73,05/10/22,10:00:00  PM,10.08,14.46,,,,
74,05/10/22,10:05:00  PM,10.07,14.48,,,,
75,05/10/22,10:10:00  PM,10.07,14.50,,,,
76,05/10/22,10:15:00  PM,10.06,14.52,,,,
77,05/10/22,10:20:00  PM,10.06,14.54,,,,
78,05/10/22,10:25:00  PM,10.05,14.56,,,,
79,05/10/22,10:30:00  PM,10.06,14.58,,,,
80,05/10/22,10:35:00  PM,10.04,14.60,,,,
81,05/10/22,10:40:00  PM,10.04,14.62,,,,
82,05/10/22,10:45:00  PM,10.04,14.64,,,,
83,05/10/22,10:50:00  PM,10.04,14.68,,,,
84,05/10/22,10:55:00  PM,10.05,14.68,,,,
85,05/10/22,11:00:00  PM,10.03,14.70,,,,
86,05/10/22,11:05:00  PM,10.03,14.72,,,,
87,05/10/22,11:10:00  PM,10.03,14.74,,,,
88,05/10/22,11:15:00  PM,10.03,14.78,,,,
89,05/10/22,11:20:00  PM,10.01,14.80,,,,
90,05/10/22,11:25:00  PM,10.01,14.80,,,,
91,05/10/22,11:30:00  PM,10.01,14.82,,,,
92,05/10/22,11:35:00  PM,10.01,14.84,,,,
93,05/10/22,11:40:00  PM,9.99,14.86,,,,
94,05/10/22,11:45:00  PM,10.00,14.88,,,,
95,05/10/22,11:50:00  PM,10.00,14.90,,,,
96,05/10/22,11:55:00  PM,9.98,14.92,,,,
97,05/11/22,12:00:00  AM,9.98,14.94,,,,
98,05/11/22,12:05:00  AM,9.99,14.96,,,,
99,05/11/22,12:10:00  AM,9.98,14.98,,,,
100,05/11/22,12:15:00  AM,9.97,15.00,,,,
101,05/11/22,12:20:00  AM,9.98,15.02,,,,
102,05/11/22,12:25:00  AM,9.98,15.04,,,,
103,05/11/22,12:30:00  AM,9.97,15.06,,,,
104,05/11/22,12:35:00  AM,9.96,15.08,,,,
105,05/11/22,12:40:00  AM,9.96,15.08,,,,
106,05/11/22,12:45:00  AM,9.95,15.10,,,,
107,05/11/22,12:50:00  AM,9.95,15.12,,,,
108,05/11/22,12:55:00  AM,9.95,15.14,,,,
109,05/11/22,01:00:00  AM,9.94,15.16,,,,
110,05/11/22,01:05:00  AM,9.94,15.18,,,,
111,05/11/22,01:10:00  AM,9.93,15.20,,,,
112,05/11/22,01:15:00  AM,9.93,15.20,,,,
113,05/11/22,01:20:00  AM,9.92,15.22,,,,
114,05/11/22,01:25:00  AM,9.93,15.24,,,,
115,05/11/22,01:30:00  AM,9.93,15.26,,,,
116,05/11/22,01:35:00  AM,9.92,15.28,,,,
117,05/11/22,01:40:00  AM,9.91,15.30,,,,
118,05/11/22,01:45:00  AM,9.90,15.30,,,,
119,05/11/22,01:50:00  AM,9.92,15.32,,,,
120,05/11/22,01:55:00  AM,9.92,15.34,,,,
121,05/11/22,02:00:00  AM,9.91,15.36,,,,
122,05/11/22,02:05:00  AM,9.90,15.36,,,,
123,05/11/22,02:10:00  AM,9.90,15.38,,,,
124,05/11/22,02:15:00  AM,9.90,15.40,,,,
125,05/11/22,02:20:00  AM,9.88,15.42,,,,
126,05/11/22,02:25:00  AM,9.88,15.42,,,,
127,05/11/22,02:30:00  AM,9.87,15.44,,,,
128,05/11/22,02:35:00  AM,9.88,15.46,,,,
129,05/11/22,02:40:00  AM,9.87,15.46,,,,
130,05/11/22,02:45:00  AM,9.87,15.48,,,,
131,05/11/22,02:50:00  AM,9.86,15.50,,,,
132,05/11/22,02:55:00  AM,9.86,15.52,,,,
