"Plot Title: 20208385-in lab"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20208385, SEN S/N: 20208385)","Temp, °C (LGR S/N: 20208385, SEN S/N: 20208385)","Coupler Attached (LGR S/N: 20208385)","Host Connected (LGR S/N: 20208385)","Stopped (LGR S/N: 20208385)","End Of File (LGR S/N: 20208385)"
1,05/10/22,04:00:00  PM,10.33,11.96,,,,
2,05/10/22,04:05:00  PM,10.33,12.00,,,,
3,05/10/22,04:10:00  PM,10.33,12.06,,,,
4,05/10/22,04:15:00  PM,10.33,12.12,,,,
5,05/10/22,04:20:00  PM,10.32,12.18,,,,
6,05/10/22,04:25:00  PM,10.32,12.22,,,,
7,05/10/22,04:30:00  PM,10.31,12.28,,,,
8,05/10/22,04:35:00  PM,10.31,12.32,,,,
9,05/10/22,04:40:00  PM,10.31,12.36,,,,
10,05/10/22,04:45:00  PM,10.30,12.42,,,,
11,05/10/22,04:50:00  PM,10.30,12.46,,,,
12,05/10/22,04:55:00  PM,10.29,12.50,,,,
13,05/10/22,05:00:00  PM,10.29,12.54,,,,
14,05/10/22,05:05:00  PM,10.29,12.58,,,,
15,05/10/22,05:10:00  PM,10.28,12.64,,,,
16,05/10/22,05:15:00  PM,10.28,12.68,,,,
17,05/10/22,05:20:00  PM,10.27,12.72,,,,
18,05/10/22,05:25:00  PM,10.27,12.76,,,,
19,05/10/22,05:30:00  PM,10.26,12.80,,,,
20,05/10/22,05:35:00  PM,10.27,12.84,,,,
21,05/10/22,05:40:00  PM,10.26,12.88,,,,
22,05/10/22,05:45:00  PM,10.24,12.92,,,,
23,05/10/22,05:50:00  PM,10.24,12.96,,,,
24,05/10/22,05:55:00  PM,10.24,13.00,,,,
25,05/10/22,06:00:00  PM,10.22,13.04,,,,
26,05/10/22,06:05:00  PM,10.23,13.06,,,,
27,05/10/22,06:10:00  PM,10.22,13.10,,,,
28,05/10/22,06:15:00  PM,10.22,13.14,,,,
29,05/10/22,06:20:00  PM,10.22,13.18,,,,
30,05/10/22,06:25:00  PM,10.21,13.22,,,,
31,05/10/22,06:30:00  PM,10.21,13.26,,,,
32,05/10/22,06:35:00  PM,10.21,13.28,,,,
33,05/10/22,06:40:00  PM,10.20,13.32,,,,
34,05/10/22,06:45:00  PM,10.20,13.36,,,,
35,05/10/22,06:50:00  PM,10.19,13.38,,,,
36,05/10/22,06:55:00  PM,10.19,13.42,,,,
37,05/10/22,07:00:00  PM,10.19,13.46,,,,
38,05/10/22,07:05:00  PM,10.18,13.48,,,,
39,05/10/22,07:10:00  PM,10.18,13.52,,,,
40,05/10/22,07:15:00  PM,10.17,13.54,,,,
41,05/10/22,07:20:00  PM,10.17,13.58,,,,
42,05/10/22,07:25:00  PM,10.16,13.62,,,,
43,05/10/22,07:30:00  PM,10.16,13.64,,,,
